"Port_Code","Port","Int_Code","Intl_Geography","Group_ID","I_Mode","Value_2010","Weight"
"42660","Seattle-Tacoma-Bellevue","076","Brazil","10",5,273.87,0.31
"42660","Seattle-Tacoma-Bellevue","076","Brazil","11",3,2.1982001215e-03,1.069014375e-04
"42660","Seattle-Tacoma-Bellevue","076","Brazil","11",4,1.72,4.40000004849998e-03
"42660","Seattle-Tacoma-Bellevue","076","Brazil","12",3,1.52,0.86
"42660","Seattle-Tacoma-Bellevue","076","Brazil","12",5,6.0e-04,6.69649515287099e-05
"42660","Seattle-Tacoma-Bellevue","076","Brazil","13",3,0.03,0.18
"42660","Seattle-Tacoma-Bellevue","076","Brazil","17",3,1.15,0.14
"42660","Seattle-Tacoma-Bellevue","076","Brazil","17",4,0.06,8.49999999999994e-04
"42660","Seattle-Tacoma-Bellevue","124","Canada","01",1,16.50,9.93
"42660","Seattle-Tacoma-Bellevue","124","Canada","01",2,1.73,2.26
"42660","Seattle-Tacoma-Bellevue","124","Canada","01",3,7.45,7.35
"42660","Seattle-Tacoma-Bellevue","124","Canada","01",4,6.16,0.99
"42660","Seattle-Tacoma-Bellevue","124","Canada","02",1,0.09,0.74
"42660","Seattle-Tacoma-Bellevue","124","Canada","02",2,3.86646079009475e-03,0.03
"42660","Seattle-Tacoma-Bellevue","124","Canada","02",3,32.74,1742.02
"42660","Seattle-Tacoma-Bellevue","124","Canada","02",4,0.05,0.14
"42660","Seattle-Tacoma-Bellevue","124","Canada","03",1,0.16,0.29
"42660","Seattle-Tacoma-Bellevue","124","Canada","03",3,974.30,1940.35
"42660","Seattle-Tacoma-Bellevue","124","Canada","03",4,0.17,0.18
"42660","Seattle-Tacoma-Bellevue","124","Canada","03",6,1601.48,4549.17
"42660","Seattle-Tacoma-Bellevue","124","Canada","04",1,14.95,7.09
"42660","Seattle-Tacoma-Bellevue","124","Canada","04",2,0.97,1.31
"42660","Seattle-Tacoma-Bellevue","124","Canada","04",3,44.90,105.78
"42660","Seattle-Tacoma-Bellevue","124","Canada","04",4,16.33,0.54
"42660","Seattle-Tacoma-Bellevue","124","Canada","04",7,11.24,2.35
"42660","Seattle-Tacoma-Bellevue","124","Canada","05",1,33.52,22.51
"42660","Seattle-Tacoma-Bellevue","124","Canada","05",2,3.01,11.89
"42660","Seattle-Tacoma-Bellevue","124","Canada","05",3,53.18,446.42
"42660","Seattle-Tacoma-Bellevue","124","Canada","05",4,4.19,0.62
"42660","Seattle-Tacoma-Bellevue","124","Canada","05",7,3.21,0.15
"42660","Seattle-Tacoma-Bellevue","124","Canada","06",1,25.22,2.53
"42660","Seattle-Tacoma-Bellevue","124","Canada","06",3,0.52,0.10
"42660","Seattle-Tacoma-Bellevue","124","Canada","06",4,10.22,0.50
"42660","Seattle-Tacoma-Bellevue","124","Canada","06",7,9.09,0.20
"42660","Seattle-Tacoma-Bellevue","124","Canada","07",1,6.62,11.99
"42660","Seattle-Tacoma-Bellevue","124","Canada","07",2,0.49,0.71
"42660","Seattle-Tacoma-Bellevue","124","Canada","07",3,76.27,574.96
"42660","Seattle-Tacoma-Bellevue","124","Canada","07",4,4.78,0.61
"42660","Seattle-Tacoma-Bellevue","124","Canada","08",1,49.16,5.72
"42660","Seattle-Tacoma-Bellevue","124","Canada","08",2,0.02,3.04071393690236e-03
"42660","Seattle-Tacoma-Bellevue","124","Canada","08",3,5.11,0.66
"42660","Seattle-Tacoma-Bellevue","124","Canada","08",4,102.12,1.05
"42660","Seattle-Tacoma-Bellevue","124","Canada","08",7,7.04,0.26
"42660","Seattle-Tacoma-Bellevue","124","Canada","09",1,130.51,8.12
"42660","Seattle-Tacoma-Bellevue","124","Canada","09",3,0.74,0.02
"42660","Seattle-Tacoma-Bellevue","124","Canada","09",4,128.60,0.96
"42660","Seattle-Tacoma-Bellevue","124","Canada","09",5,5.76796224779021e-03,9.2699393268057e-04
"42660","Seattle-Tacoma-Bellevue","124","Canada","09",7,9.91,0.33
"42660","Seattle-Tacoma-Bellevue","124","Canada","10",1,9.14,1.38
"42660","Seattle-Tacoma-Bellevue","124","Canada","10",2,0.02,9.10627520698543e-03
"42660","Seattle-Tacoma-Bellevue","124","Canada","10",3,35.75,2.49
"42660","Seattle-Tacoma-Bellevue","124","Canada","10",4,68.97,0.36
"42660","Seattle-Tacoma-Bellevue","124","Canada","10",7,538.38,0.46
"42660","Seattle-Tacoma-Bellevue","124","Canada","11",1,60.33,1.90
"42660","Seattle-Tacoma-Bellevue","124","Canada","11",2,0.01,2.16653398551729e-03
"42660","Seattle-Tacoma-Bellevue","124","Canada","11",3,0.13,2.05e-03
"42660","Seattle-Tacoma-Bellevue","124","Canada","11",4,68.24,0.27
"42660","Seattle-Tacoma-Bellevue","124","Canada","11",7,0.11,2.91759456022769e-03
"42660","Seattle-Tacoma-Bellevue","124","Canada","12",1,4.28,0.88
"42660","Seattle-Tacoma-Bellevue","124","Canada","12",2,0.02,8.91362417681849e-03
"42660","Seattle-Tacoma-Bellevue","124","Canada","12",3,0.11,0.01
"42660","Seattle-Tacoma-Bellevue","124","Canada","12",4,2.65,0.13
"42660","Seattle-Tacoma-Bellevue","124","Canada","12",7,2.27,0.48
"42660","Seattle-Tacoma-Bellevue","124","Canada","13",3,44.03,303.06
"42660","Seattle-Tacoma-Bellevue","124","Canada","13",4,0.01,1.03712958040424e-03
"42660","Seattle-Tacoma-Bellevue","124","Canada","16",1,2.05,0.26
"42660","Seattle-Tacoma-Bellevue","124","Canada","16",4,0.80,0.01
"42660","Seattle-Tacoma-Bellevue","124","Canada","17",1,33.29,5.10
"42660","Seattle-Tacoma-Bellevue","124","Canada","17",2,0.02,0.02
"42660","Seattle-Tacoma-Bellevue","124","Canada","17",3,1.58,0.33
"42660","Seattle-Tacoma-Bellevue","124","Canada","17",4,25.61,0.68
"42660","Seattle-Tacoma-Bellevue","124","Canada","17",7,0.71,0.06
"42660","Seattle-Tacoma-Bellevue","152","Chile","01",3,56.55,31.71
"42660","Seattle-Tacoma-Bellevue","152","Chile","01",4,6.750000135e-03,2.10000003e-03
"42660","Seattle-Tacoma-Bellevue","152","Chile","01",5,0.01,7.97921086499999e-04
"42660","Seattle-Tacoma-Bellevue","152","Chile","02",3,3.44,23.31
"42660","Seattle-Tacoma-Bellevue","152","Chile","03",3,140.70,251.98
"42660","Seattle-Tacoma-Bellevue","152","Chile","04",3,11.76,8.28
"42660","Seattle-Tacoma-Bellevue","152","Chile","04",4,0.09,1.0000000275e-03
"42660","Seattle-Tacoma-Bellevue","152","Chile","05",3,17.47,26.71
"42660","Seattle-Tacoma-Bellevue","152","Chile","05",4,4.14999996200001e-03,3.49999999500001e-04
"42660","Seattle-Tacoma-Bellevue","152","Chile","06",3,2.54,0.44
"42660","Seattle-Tacoma-Bellevue","152","Chile","06",4,0.04,3.50000000000001e-04
"42660","Seattle-Tacoma-Bellevue","152","Chile","07",3,0.25,0.70
"42660","Seattle-Tacoma-Bellevue","152","Chile","07",4,9.99999982800005e-03,5.00000000000002e-05
"42660","Seattle-Tacoma-Bellevue","152","Chile","08",3,11.19,1.58
"42660","Seattle-Tacoma-Bellevue","152","Chile","08",4,0.42,4.5000000385e-03
"42660","Seattle-Tacoma-Bellevue","152","Chile","09",3,0.53,0.03
"42660","Seattle-Tacoma-Bellevue","152","Chile","09",4,0.31,1.0999999985e-03
"42660","Seattle-Tacoma-Bellevue","152","Chile","10",3,0.47,0.13
"42660","Seattle-Tacoma-Bellevue","152","Chile","10",4,0.75,2.750000016e-03
"42660","Seattle-Tacoma-Bellevue","152","Chile","11",3,5.64,0.03
"42660","Seattle-Tacoma-Bellevue","152","Chile","11",4,0.81,2.100000015e-03
"42660","Seattle-Tacoma-Bellevue","152","Chile","12",3,0.19,0.04
"42660","Seattle-Tacoma-Bellevue","152","Chile","13",3,1.60,4.73
"42660","Seattle-Tacoma-Bellevue","152","Chile","16",3,3.59999997749999e-03,3.000000008e-03
"42660","Seattle-Tacoma-Bellevue","152","Chile","16",4,0.03,1.0e-04
"42660","Seattle-Tacoma-Bellevue","152","Chile","17",3,14.82,2.17
"42660","Seattle-Tacoma-Bellevue","152","Chile","17",4,0.03,1.5000000025e-03
"42660","Seattle-Tacoma-Bellevue","156","China","01",3,3654.33,8485.15
"42660","Seattle-Tacoma-Bellevue","156","China","01",4,76.93,9.95
"42660","Seattle-Tacoma-Bellevue","156","China","01",5,0.09,0.02
"42660","Seattle-Tacoma-Bellevue","156","China","02",3,54.31,144.85
"42660","Seattle-Tacoma-Bellevue","156","China","02",4,2.28,0.13
"42660","Seattle-Tacoma-Bellevue","156","China","02",5,1.35e-03,3.56826811313444e-03
"42660","Seattle-Tacoma-Bellevue","156","China","03",3,26.28,56.59
"42660","Seattle-Tacoma-Bellevue","156","China","03",4,0.10,8.44718665199997e-03
"42660","Seattle-Tacoma-Bellevue","156","China","03",5,1.8e-03,1.74085195401447e-03
"42660","Seattle-Tacoma-Bellevue","156","China","04",3,2631.27,870.00
"42660","Seattle-Tacoma-Bellevue","156","China","04",4,189.25,3.07
"42660","Seattle-Tacoma-Bellevue","156","China","04",5,1.22,0.34
"42660","Seattle-Tacoma-Bellevue","156","China","05",3,2901.03,1789.77
"42660","Seattle-Tacoma-Bellevue","156","China","05",4,11.33,1.11
"42660","Seattle-Tacoma-Bellevue","156","China","05",5,0.82,0.20
"42660","Seattle-Tacoma-Bellevue","156","China","06",3,7883.02,733.35
"42660","Seattle-Tacoma-Bellevue","156","China","06",4,154.56,5.47
"42660","Seattle-Tacoma-Bellevue","156","China","06",5,24.55,1.50
"42660","Seattle-Tacoma-Bellevue","156","China","07",3,891.10,1205.91
"42660","Seattle-Tacoma-Bellevue","156","China","07",4,26.27,2.40
"42660","Seattle-Tacoma-Bellevue","156","China","07",5,0.51,0.15
"42660","Seattle-Tacoma-Bellevue","156","China","08",3,3663.75,609.85
"42660","Seattle-Tacoma-Bellevue","156","China","08",4,815.69,5.79
"42660","Seattle-Tacoma-Bellevue","156","China","08",5,5.83,0.54
"42660","Seattle-Tacoma-Bellevue","156","China","09",3,5979.55,531.70
"42660","Seattle-Tacoma-Bellevue","156","China","09",4,1997.74,8.98
"42660","Seattle-Tacoma-Bellevue","156","China","09",5,75.43,3.13
"42660","Seattle-Tacoma-Bellevue","156","China","10",3,1925.81,363.45
"42660","Seattle-Tacoma-Bellevue","156","China","10",4,422.30,1.12
"42660","Seattle-Tacoma-Bellevue","156","China","10",5,4122.67,1.57
"42660","Seattle-Tacoma-Bellevue","156","China","11",3,565.81,37.85
"42660","Seattle-Tacoma-Bellevue","156","China","11",4,542.49,2.42
"42660","Seattle-Tacoma-Bellevue","156","China","11",5,3.80,0.10
"42660","Seattle-Tacoma-Bellevue","156","China","12",3,2575.00,760.17
"42660","Seattle-Tacoma-Bellevue","156","China","12",4,28.87,0.54
"42660","Seattle-Tacoma-Bellevue","156","China","12",5,0.86,0.14
"42660","Seattle-Tacoma-Bellevue","156","China","13",3,668.88,1583.65
"42660","Seattle-Tacoma-Bellevue","156","China","13",4,0.12,1.97771885529697e-04
"42660","Seattle-Tacoma-Bellevue","156","China","16",3,44.23,3.69
"42660","Seattle-Tacoma-Bellevue","156","China","16",4,13.34,0.06
"42660","Seattle-Tacoma-Bellevue","156","China","16",5,1.58,0.07
"42660","Seattle-Tacoma-Bellevue","156","China","17",3,5645.78,1345.81
"42660","Seattle-Tacoma-Bellevue","156","China","17",4,250.66,4.19
"42660","Seattle-Tacoma-Bellevue","156","China","17",5,17.35,1.44
"42660","Seattle-Tacoma-Bellevue","170","Colombia","01",3,30.73,24.44
"42660","Seattle-Tacoma-Bellevue","170","Colombia","01",4,1.700000034e-03,1.999999875e-04
"42660","Seattle-Tacoma-Bellevue","170","Colombia","02",3,0.08,0.27
"42660","Seattle-Tacoma-Bellevue","170","Colombia","04",3,1.24,0.89
"42660","Seattle-Tacoma-Bellevue","170","Colombia","04",4,0.05,1.500000075e-04
"42660","Seattle-Tacoma-Bellevue","170","Colombia","05",3,3.21,2.74
"42660","Seattle-Tacoma-Bellevue","170","Colombia","05",4,1.25e-03,2.99999999999999e-04
"42660","Seattle-Tacoma-Bellevue","170","Colombia","06",3,0.07,8.825867156e-03
"42660","Seattle-Tacoma-Bellevue","170","Colombia","06",4,0.01,1.5e-04
"42660","Seattle-Tacoma-Bellevue","170","Colombia","07",3,0.07,0.08
"42660","Seattle-Tacoma-Bellevue","170","Colombia","07",4,0.02,9.00000000000003e-04
"42660","Seattle-Tacoma-Bellevue","170","Colombia","08",3,5.00,1.11
"42660","Seattle-Tacoma-Bellevue","170","Colombia","08",4,0.18,9.99999974000003e-04
"42660","Seattle-Tacoma-Bellevue","170","Colombia","09",3,0.74,0.05
